Campaign Name,Email,Email Provider,Lead Status,Verification Status,Interest Status,phone,website,lastName,firstName,companyName,personalization,email,campaign,jobTitle,linkedIn,location,PhoneNumber,companyDomain,Telefoonnummer
"RijFlow Invalid emails",info@rijschoolvanvuuren.nl,Not Found,Active | Not yet contacted,Invalid,Lead,,None,,,Altena Verkeersopleidingen,,info@rijschoolvanvuuren.nl,,,,,,,0183 50 49 00
"RijFlow Invalid emails",info@lesopstroom.nl,Other,Active | Not yet contacted,Invalid,Lead,,None,,,LESOPSTROOM.NL,,info@lesopstroom.nl,,,,,,,06 21 54 54 43
"RijFlow Invalid emails",info@autorijschoolandries.nl,Other,Active | Not yet contacted,Invalid,Lead,,http://www.autorijschoolandries.nl/,,,Autorijschool Andries,,info@autorijschoolandries.nl,,,,,,,0525662727
"RijFlow Invalid emails",info@verkeerssschoolmike.nl,Not Found,Active | Not yet contacted,Invalid,Lead,,None,,,Verkeersschool Mike,,info@verkeerssschoolmike.nl,,,,,,,0728445347
"RijFlow Invalid emails",w-ghiasi@hotmail.com,Microsoft,Active | Not yet contacted,Invalid,Lead,,None,,,Autorijschool Ghiasi,,w-ghiasi@hotmail.com,,,,,,,040 254 91 15
"RijFlow Invalid emails",peter@rijschoolpetermollema.nl,Other,Active | Not yet contacted,Invalid,Lead,,None,,,Rijschool Peter Mollema,,peter@rijschoolpetermollema.nl,,,,,,,0595 74 50 05
"RijFlow Invalid emails",ramnath@upc.nl,Other,Active | Not yet contacted,Invalid,Lead,,None,,,Rijschool Experience,,ramnath@upc.nl,,,,,,,0299 68 54 04
"RijFlow Invalid emails",info@rijschoollevel.nl,Other,Active | Not yet contacted,Invalid,Lead,,http://www.rijschoollevel.nl/,,,Rijschool Level,,info@rijschoollevel.nl,,,,,,,0592 86 84 68
"RijFlow Invalid emails",info@verkeersschooloostdijk.nl,Microsoft,Active | Not yet contacted,Invalid,Lead,,None,,,Verkeersschool Oostdijk,,info@verkeersschooloostdijk.nl,,,,,,,0181 32 23 27
"RijFlow Invalid emails",info@autorijschoolklinkert.nl,Other,Active | Not yet contacted,Invalid,Lead,,http://www.autorijschoolklinkert.nl/,,,Autorijschool Klinkert,,info@autorijschoolklinkert.nl,,,,,,,030 6994456
"RijFlow Invalid emails",info@pietgonsrijopleidingen.nl,Microsoft,Active | Not yet contacted,Invalid,Lead,,https://pietgonsrijopleidingen.nl/,,,Rijcenter Gons,,info@pietgonsrijopleidingen.nl,,,,,,,0528 82 02 70
"RijFlow Invalid emails",melissa-arik@hotmail.com,Microsoft,Active | Not yet contacted,Invalid,Lead,,None,,,Autorijschool Melissa,,melissa-arik@hotmail.com,,,,,,,036 537 37 75
"RijFlow Invalid emails",info@rijschoolguido.nl,Other,Active | Not yet contacted,Invalid,Lead,,https://rijschoolguido.nl/,,,Rijschool Guido,,info@rijschoolguido.nl,,,,,,,073 511 89 97
"RijFlow Invalid emails",c.koert@chello.nl,Other,Active | Not yet contacted,Invalid,Lead,,None,,,Verkeersschool Cees Koert,,c.koert@chello.nl,,,,,,,0187601412
"RijFlow Invalid emails",info@autorijschoolwimvandijk.nl,Other,Active | Not yet contacted,Invalid,Lead,,None,,,W.M. van Dijk,,info@autorijschoolwimvandijk.nl,,,,,,,030 604 99 96
