Campaign Name,Email,Email Provider,Lead Status,Verification Status,Interest Status,phone,website,lastName,firstName,companyName,personalization,email,campaign,jobTitle,linkedIn,location,PhoneNumber,companyDomain,Telefoonnummer
"RijFlow OFFICIAL",maryann1@live.nl,Microsoft,Active | Not yet contacted,Verified,Lead,,None,,,Rijschool Mary Ann,,maryann1@live.nl,,,,,,,031 864 74 24
"RijFlow OFFICIAL",info@rijschoolhappywheels.nl,Microsoft,Active | Not yet contacted,Verified,Lead,,https://www.rijschoolhappywheels.nl/,,,Rijschool Happy Wheels,,info@rijschoolhappywheels.nl,,,,,,,0651615138
"RijFlow OFFICIAL",info@kampschuur.nl,Other,Active | Not yet contacted,Verified,Lead,,https://kampschuur.nl/,,,Autorijschool P. Kampschuur,,info@kampschuur.nl,,,,,,,010 234 00 08
"RijFlow OFFICIAL",info@postmarijopleidingen.nl,Other,Active | Not yet contacted,Verified,Lead,,http://www.postmarijopleidingen.nl/,,,Postma Rijopleidingen B.V.,,info@postmarijopleidingen.nl,,,,,,,0570 60 77 33
"RijFlow OFFICIAL",e.kunne@taxilinsen.nl,Other,Active | Not yet contacted,Verified,Lead,,http://www.autorijschoolwimkunne.nl/,,,Autorijschool Wim Künne,,e.kunne@taxilinsen.nl,,,,,,,0313 63 19 65
"RijFlow OFFICIAL",info@jospoels.nl,Other,Active | Not yet contacted,Verified,Lead,,http://www.jospoels.nl/,,,Jos Poels,,info@jospoels.nl,,,,,,,077 474 84 27
"RijFlow OFFICIAL",dedaatjes@casema.nl,Other,Active | Not yet contacted,Verified,Lead,,None,,,H.W.J. Van Daatselaar,,dedaatjes@casema.nl,,,,,,,None
"RijFlow OFFICIAL",info@rijschoolnoorderveen.nl,Other,Active | Not yet contacted,Verified,Lead,,None,,,Verkeersopleidingen Perry Noorderveen,,info@rijschoolnoorderveen.nl,,,,,,,0345633166
"RijFlow OFFICIAL",reza_nikpayam@msn.com,Microsoft,Active | Not yet contacted,Verified,Lead,,None,,,Autorijschool Nik,,reza_nikpayam@msn.com,,,,,,,None
"RijFlow OFFICIAL",mec.jongen@kpnmail.nl,Other,Active | Not yet contacted,Verified,Lead,,None,,,Autorijschool Jongen Parkstad,,mec.jongen@kpnmail.nl,,,,,,,045 545 25 27
